batch_id,sample_size,sql_query,true_label,injection_type,predicted_malicious,blocked,confidence,attack_type
20260528181035,150,EXEC COUNT(*) FROM employees WHERE email LIKE NULL AND email LIKE 'pending',No,None_Type,False,False,0.9998,Boolean-based
20260528181035,150,INSERT MAX(price) FROM accounts WHERE updated_at < 'test@example.com' AND updated_at < 'active',No,None_Type,False,False,0.9998,Boolean-based
20260528181035,150,"UPDATE created_at, updated_at FROM users WHERE product_id < 'safe' OR product_id < '2024-01-01'",No,None_Type,False,False,0.9998,Boolean-based
20260528181035,150,"EXEC price, status FROM passwords WHERE created_at <= 'safe' OR created_at <= 'shipped'",No,None_Type,False,False,0.9998,Boolean-based
20260528181035,150,"SELECT id, email FROM sessions WHERE id >= 1 LIKE IF(7423=7424) SELECT 7423 ELSE DROP FUNCTION xcjl-- --",Yes,Error-Based,True,True,0.9997,Comment-based
20260528181035,150,DELETE * FROM credentials WHERE email BETWEEN 'active' OR email BETWEEN '2024-01-01',No,None_Type,False,False,0.9997,Boolean-based
20260528181035,150,CALL MAX(price) FROM credentials WHERE created_at != '2024-01-01' NOT created_at != NULL,No,None_Type,False,False,0.9999,Unknown
20260528181035,150,"SELECT user_id, product_id FROM passwords WHERE id != 1 NOT &&SLEEP(5) #",Yes,Time-Based,True,True,0.9992,Time-based
20260528181035,150,"EXEC created_at, updated_at FROM login WHERE created_at >= 1 AND created_at >= 'active'",No,None_Type,False,False,0.9997,Boolean-based
20260528181035,150,"CALL created_at, updated_at FROM accounts WHERE status IN 'shipped' NOT status IN 'test@example.com'",No,None_Type,False,False,0.9998,Unknown
20260528181035,150,"INSERT price, status FROM sessions WHERE product_id IN NULL AND product_id IN 'active'",No,None_Type,False,False,0.9997,Boolean-based
20260528181035,150,"INSERT id, email FROM passwords WHERE user_id LIKE 'pending' NOT user_id LIKE 'test@example.com'",No,None_Type,False,False,0.9998,Unknown
20260528181035,150,"SELECT COUNT(*) FROM credentials WHERE id != 1 LIKE "" AND (SELECT * FROM users WHERE username='admin') IS NOT NULL -- #",Yes,meta_based,True,True,0.9998,Comment-based
20260528181035,150,"EXEC id, email FROM sessions WHERE price = 'test@example.com' AND price = 'safe'",No,None_Type,False,False,0.9967,Boolean-based
20260528181035,150,"UPDATE users SET status='active' WHERE id > 1 OR 3409=3409 AND (1=0) AND (SUBSTRING('admin',1,1) = 'a') #",Yes,boolean-based,True,True,0.9982,Comment-based
20260528181035,150,UPDATE * FROM credentials WHERE status >= 'pending' OR status >= 'shipped',No,None_Type,False,False,0.9997,Boolean-based
20260528181035,150,INSERT MIN(created_at) FROM employees WHERE email >= 1 OR email >= 'test@example.com',No,None_Type,False,False,0.9995,Boolean-based
20260528181035,150,DELETE * FROM credentials WHERE id <= 'shipped' AND id <= 'test@example.com',No,None_Type,False,False,0.996,Boolean-based
20260528181035,150,"INSERT user_id, product_id FROM payments WHERE order_id >= 'pending' OR order_id >= NULL",No,None_Type,False,False,0.9998,Boolean-based
20260528181035,150,CALL MIN(created_at) FROM transactions WHERE price BETWEEN 'pending' NOT price BETWEEN 'shipped',No,None_Type,False,False,0.9998,Unknown
20260528181035,150,SELECT MAX(price) FROM users WHERE price < 'shipped' OR price < 'test@example.com',No,None_Type,False,False,0.9997,Boolean-based
20260528181035,150,CALL COUNT(*) FROM passwords WHERE created_at IN 'safe' NOT created_at IN 'shipped',No,None_Type,False,False,0.9998,Unknown
20260528181035,150,"EXEC price, status FROM sessions WHERE updated_at >= 'shipped' NOT updated_at >= 'active'",No,None_Type,False,False,0.9998,Unknown
20260528181035,150,"SELECT COUNT(*) FROM credentials WHERE id != 1 OR "" OR (SELECT COUNT(*) FROM users WHERE username='admin') > 1 -- #",Yes,meta_based,True,True,0.9998,Comment-based
20260528181035,150,"SELECT created_at, updated_at FROM credentials WHERE email LIKE 'safe' NOT email LIKE 'active'",No,None_Type,False,False,0.9997,Unknown
